cme_id,speed,type,linked_events,start time
2010-04-03T09:54:00-CME-001,620.0,C,"[{'activityID': '2010-04-03T09:04:00-FLR-001'}, {'activityID': '2010-04-05T07:54:00-IPS-001'}]","04/03/2010, 09:54:00"
2010-06-13T07:32:00-CME-001,500.0,C,,"06/13/2010, 07:32:00"
2010-06-20T03:18:00-CME-001,570.0,C,[{'activityID': '2010-06-23T08:00:00-IPS-001'}],"06/20/2010, 03:18:00"
2010-07-03T01:30:00-CME-001,625.0,C,,"07/03/2010, 01:30:00"
2010-07-08T22:30:00-CME-001,290.0,S,,"07/08/2010, 22:30:00"
2010-07-29T08:24:00-CME-001,350.0,S,,"07/29/2010, 08:24:00"
2010-07-30T07:30:00-CME-001,750.0,C,,"07/30/2010, 07:30:00"
2010-08-01T02:42:00-CME-001,760.0,C,,"08/01/2010, 02:42:00"
2010-08-01T08:20:00-CME-001,1300.0,O,"[{'activityID': '2010-08-03T05:00:00-IPS-001'}, {'activityID': '2010-08-03T16:56:00-IPS-001'}, {'activityID': '2010-08-03T21:00:00-GST-001'}]","08/01/2010, 08:20:00"
2010-08-01T10:10:00-CME-001,550.0,C,[{'activityID': '2010-08-03T16:56:00-IPS-001'}],"08/01/2010, 10:10:00"
2010-08-01T23:54:00-CME-001,686.0,C,,"08/01/2010, 23:54:00"
2010-08-06T00:00:00-CME-001,300.0,S,,"08/06/2010, 00:00:00"
2010-08-07T17:00:00-CME-001,750.0,C,,"08/07/2010, 17:00:00"
2010-08-14T10:12:00-CME-001,950.0,C,[{'activityID': '2010-08-17T17:40:00-IPS-001'}],"08/14/2010, 10:12:00"
2010-08-15T08:12:00-CME-001,620.0,C,,"08/15/2010, 08:12:00"
2010-08-18T06:00:00-CME-001,1250.0,O,"[{'activityID': '2010-08-18T04:45:00-FLR-001'}, {'activityID': '2010-08-20T16:00:00-IPS-001'}]","08/18/2010, 06:00:00"
2010-08-27T10:24:00-CME-001,780.0,C,,"08/27/2010, 10:24:00"
2010-08-31T21:20:00-CME-001,1200.0,O,,"08/31/2010, 21:20:00"
2010-09-04T15:25:00-CME-001,400.0,S,,"09/04/2010, 15:25:00"
2010-09-08T23:26:00-CME-001,850.0,C,[{'activityID': '2010-09-11T07:00:00-IPS-001'}],"09/08/2010, 23:26:00"
2010-09-10T23:30:00-CME-001,410.0,S,[{'activityID': '2010-09-15T12:00:00-IPS-001'}],"09/10/2010, 23:30:00"
2010-09-22T05:00:00-CME-001,650.0,C,,"09/22/2010, 05:00:00"
2010-09-30T23:38:00-CME-001,460.0,S,,"09/30/2010, 23:38:00"
2010-10-06T07:24:00-CME-001,360.0,S,[{'activityID': '2010-10-11T06:00:00-IPS-001'}],"10/06/2010, 07:24:00"
2010-10-07T09:36:00-CME-001,515.0,C,,"10/07/2010, 09:36:00"
2010-10-11T00:00:00-CME-001,350.0,S,[{'activityID': '2010-10-17T01:11:00-IPS-001'}],"10/11/2010, 00:00:00"
2010-10-14T17:48:00-CME-001,310.0,S,,"10/14/2010, 17:48:00"
2010-10-17T08:36:00-CME-001,340.0,S,,"10/17/2010, 08:36:00"
2010-10-22T01:25:00-CME-001,400.0,S,,"10/22/2010, 01:25:00"
