flare_id,cme_id,cme speed,cme type,cme start time,flare start time,flare peak time,flare end time,flare type,flare power(w/m^2)
2010-04-03T09:04:00-FLR-001,2010-04-03T09:54:00-CME-001,620.0,C,"04/03/2010, 09:54:00","04/03/2010, 09:04:00","04/03/2010, 09:54:00","04/03/2010, 10:58:00",B7.4,7.4e-07
2010-08-18T04:45:00-FLR-001,2010-08-18T06:00:00-CME-001,1250.0,O,"08/18/2010, 06:00:00","08/18/2010, 04:45:00","08/18/2010, 05:48:00","08/18/2010, 06:51:00",C4.5,4.5e-06
2011-02-15T01:44:00-FLR-001,2011-02-15T02:25:00-CME-001,920.0,C,"02/15/2011, 02:25:00","02/15/2011, 01:44:00","02/15/2011, 01:56:00","02/15/2011, 02:06:00",X2.2,0.00022000000000000003
2011-02-24T07:23:00-FLR-001,2011-02-24T08:00:00-CME-001,900.0,C,"02/24/2011, 08:00:00","02/24/2011, 07:23:00","02/24/2011, 07:35:00","02/24/2011, 07:42:00",M3.5,3.5000000000000004e-05
2011-03-07T13:44:00-FLR-001,2011-03-07T14:40:00-CME-001,710.0,C,"03/07/2011, 14:40:00","03/07/2011, 13:44:00","03/07/2011, 14:30:00","03/07/2011, 15:08:00",M2.0,2e-05
2011-03-07T19:43:00-FLR-001,2011-03-07T20:12:00-CME-001,1980.0,O,"03/07/2011, 20:12:00","03/07/2011, 19:43:00","03/07/2011, 20:12:00","03/07/2011, 21:40:00",M3.7,3.7000000000000005e-05
2011-03-08T03:37:00-FLR-001,2011-03-08T05:00:00-CME-001,840.0,C,"03/08/2011, 05:00:00","03/08/2011, 03:37:00","03/08/2011, 03:58:00","03/08/2011, 04:20:00",M1.5,1.5000000000000002e-05
2011-06-07T06:16:00-FLR-001,2011-06-07T06:50:00-CME-001,1400.0,O,"06/07/2011, 06:50:00","06/07/2011, 06:16:00","06/07/2011, 06:41:00","06/07/2011, 06:59:00",M2.5,2.5e-05
2011-08-03T13:17:00-FLR-001,2011-08-03T13:55:00-CME-001,1320.0,O,"08/03/2011, 13:55:00","08/03/2011, 13:17:00","08/03/2011, 13:48:00","08/03/2011, 14:10:00",M6.0,6.000000000000001e-05
2011-08-04T03:41:00-FLR-001,2011-08-04T04:10:00-CME-001,1950.0,O,"08/04/2011, 04:10:00","08/04/2011, 03:41:00","08/04/2011, 03:57:00","08/04/2011, 04:04:00",M9.3,9.300000000000001e-05
2011-09-07T22:32:00-FLR-001,2011-09-07T23:24:00-CME-001,750.0,C,"09/07/2011, 23:24:00","09/07/2011, 22:32:00","09/07/2011, 22:38:00","09/07/2011, 22:44:00",X1.8,0.00018
2011-09-22T10:29:00-FLR-001,2011-09-22T11:24:00-CME-001,1000.0,O,"09/22/2011, 11:24:00","09/22/2011, 10:29:00","09/22/2011, 11:01:00","09/22/2011, 11:44:00",X1.4,0.00014
2012-01-23T03:38:00-FLR-001,2012-01-23T04:00:00-CME-001,2211.0,R,"01/23/2012, 04:00:00","01/23/2012, 03:38:00","01/23/2012, 03:59:00","01/23/2012, 04:34:00",M8.7,8.7e-05
2012-01-27T17:37:00-FLR-001,2012-01-27T16:39:00-CME-001,2200.0,R,"01/27/2012, 16:39:00","01/27/2012, 17:37:00","01/27/2012, 18:37:00","01/27/2012, 18:56:00",X1.8,0.00018
2012-03-05T03:30:00-FLR-001,2012-03-05T04:00:00-CME-001,1363.0,O,"03/05/2012, 04:00:00","03/05/2012, 03:30:00","03/05/2012, 04:05:00","03/05/2012, 04:43:00",X1.1,0.00011000000000000002
2012-03-07T00:00:00-FLR-001,2012-03-07T00:36:00-CME-001,2200.0,R,"03/07/2012, 00:36:00","03/07/2012, 00:02:00","03/07/2012, 00:24:00","03/07/2012, 00:40:00",X5.4,0.0005400000000000001
2012-03-07T00:00:00-FLR-001,2012-03-07T01:25:00-CME-001,1800.0,O,"03/07/2012, 01:25:00","03/07/2012, 00:02:00","03/07/2012, 00:24:00","03/07/2012, 00:40:00",X5.4,0.0005400000000000001
2012-03-07T01:05:00-FLR-001,2012-03-07T00:36:00-CME-001,2200.0,R,"03/07/2012, 00:36:00","03/07/2012, 01:05:00","03/07/2012, 01:14:00","03/07/2012, 01:23:00",X1.3,0.00013000000000000002
2012-03-07T01:05:00-FLR-001,2012-03-07T01:25:00-CME-001,1800.0,O,"03/07/2012, 01:25:00","03/07/2012, 01:05:00","03/07/2012, 01:14:00","03/07/2012, 01:23:00",X1.3,0.00013000000000000002
2012-03-09T03:22:00-FLR-001,2012-03-09T04:25:00-CME-001,1125.0,O,"03/09/2012, 04:25:00","03/09/2012, 03:22:00","03/09/2012, 03:53:00","03/09/2012, 04:18:00",M6.3,6.3e-05
2012-03-10T14:43:00-FLR-001,2012-03-10T16:24:00-CME-001,630.0,C,"03/10/2012, 16:24:00","03/10/2012, 14:43:00","03/10/2012, 15:52:00","03/10/2012, 16:16:00",C8.0,8e-06
2012-03-10T17:15:00-FLR-001,2012-03-10T18:09:00-CME-001,1400.0,O,"03/10/2012, 18:09:00","03/10/2012, 17:15:00","03/10/2012, 17:27:00","03/10/2012, 17:32:00",M5.4,5.4000000000000005e-05
2012-03-10T17:32:00-FLR-001,2012-03-10T18:09:00-CME-001,1400.0,O,"03/10/2012, 18:09:00","03/10/2012, 17:32:00","03/10/2012, 17:44:00","03/10/2012, 18:30:00",M8.4,8.400000000000001e-05
2012-03-13T16:21:00-FLR-001,2012-03-13T17:52:00-CME-001,2250.0,R,"03/13/2012, 17:52:00","03/13/2012, 16:21:00","03/13/2012, 17:41:00","03/13/2012, 18:25:00",M7.9,7.900000000000001e-05
2012-05-17T00:30:00-FLR-001,2012-05-17T01:48:00-CME-001,1500.0,O,"05/17/2012, 01:48:00","05/17/2012, 00:30:00","05/17/2012, 01:47:00","05/17/2012, 02:14:00",M5.1,5.1e-05
2012-06-13T11:29:00-FLR-001,2012-06-13T14:00:00-CME-001,604.0,C,"06/13/2012, 14:00:00","06/13/2012, 11:29:00","06/13/2012, 13:17:00","06/13/2012, 14:31:00",M1.2,1.2e-05
2012-06-14T12:52:00-FLR-001,2012-06-14T14:09:00-CME-001,1364.0,O,"06/14/2012, 14:09:00","06/14/2012, 12:52:00","06/14/2012, 14:35:00","06/14/2012, 15:56:00",M1.9,1.9e-05
2012-07-06T23:01:00-FLR-001,2012-07-06T23:12:00-CME-001,1200.0,O,"07/06/2012, 23:12:00","07/06/2012, 23:01:00","07/06/2012, 23:08:00","07/06/2012, 23:14:00",X1.1,0.00011000000000000002
