class_type,end_time(zulu),flare_id,linked_events,peak_time(zulu),power(w/m^2),start_time(zulu)
B7.4,"04/03/2010, 10:58:00",2010-04-03T09:04:00-FLR-001,[{'activityID': '2010-04-03T09:54:00-CME-001'}],"04/03/2010, 09:54:00",7.4e-07,"04/03/2010, 09:04:00"
M2.0,"06/12/2010, 01:02:00",2010-06-12T00:30:00-FLR-001,['None Found.'],"06/12/2010, 00:57:00",2e-05,"06/12/2010, 00:30:00"
M1.0,"08/07/2010, 18:47:00",2010-08-07T17:55:00-FLR-001,['None Found.'],"08/07/2010, 18:24:00",1e-05,"08/07/2010, 17:55:00"
C4.4,"08/14/2010, 10:31:00",2010-08-14T09:38:00-FLR-001,[{'activityID': '2010-08-14T12:30:00-SEP-001'}],"08/14/2010, 10:05:00",4.4e-06,"08/14/2010, 09:38:00"
C4.5,"08/18/2010, 06:51:00",2010-08-18T04:45:00-FLR-001,[{'activityID': '2010-08-18T06:00:00-CME-001'}],"08/18/2010, 05:48:00",4.5e-06,"08/18/2010, 04:45:00"
M2.9,"10/16/2010, 19:15:00",2010-10-16T19:07:00-FLR-001,['None Found.'],"10/16/2010, 19:12:00",2.9e-05,"10/16/2010, 19:07:00"
M1.3,"01/28/2011, 01:10:00",2011-01-28T00:44:00-FLR-001,['None Found.'],"01/28/2011, 01:03:00",1.3000000000000001e-05,"01/28/2011, 00:44:00"
M1.9,"02/09/2011, 01:35:00",2011-02-09T01:23:00-FLR-001,['None Found.'],"02/09/2011, 01:31:00",1.9e-05,"02/09/2011, 01:23:00"
M6.6,"02/13/2011, 17:47:00",2011-02-13T17:28:00-FLR-001,['None Found.'],"02/13/2011, 17:38:00",6.6e-05,"02/13/2011, 17:28:00"
M2.2,"02/14/2011, 17:32:00",2011-02-14T17:20:00-FLR-001,['None Found.'],"02/14/2011, 17:26:00",2.2000000000000003e-05,"02/14/2011, 17:20:00"
X2.2,"02/15/2011, 02:06:00",2011-02-15T01:44:00-FLR-001,[{'activityID': '2011-02-15T02:25:00-CME-001'}],"02/15/2011, 01:56:00",0.00022000000000000003,"02/15/2011, 01:44:00"
M1.0,"02/16/2011, 01:46:00",2011-02-16T01:32:00-FLR-001,['None Found.'],"02/16/2011, 01:39:00",1e-05,"02/16/2011, 01:32:00"
M6.6,"02/18/2011, 10:15:00",2011-02-18T09:55:00-FLR-001,['None Found.'],"02/18/2011, 10:11:00",6.6e-05,"02/18/2011, 09:55:00"
M3.5,"02/24/2011, 07:42:00",2011-02-24T07:23:00-FLR-001,[{'activityID': '2011-02-24T08:00:00-CME-001'}],"02/24/2011, 07:35:00",3.5000000000000004e-05,"02/24/2011, 07:23:00"
M1.1,"02/28/2011, 13:03:00",2011-02-28T12:38:00-FLR-001,['None Found.'],"02/28/2011, 12:52:00",1.1000000000000001e-05,"02/28/2011, 12:38:00"
