,Year,Month,Day,Total,North,South
51014,2014,1,1,686.0,28.0,658.0
51015,2014,1,2,854.0,28.0,826.0
51016,2014,1,3,1974.0,56.0,1918.0
51017,2014,1,4,2198.0,56.0,2142.0
51018,2014,1,5,2394.0,70.0,2324.0
51019,2014,1,6,2506.0,154.0,2352.0
51020,2014,1,7,2597.0,364.0,2233.0
51021,2014,1,8,2590.0,420.0,2170.0
51022,2014,1,9,2786.0,490.0,2296.0
51023,2014,1,10,2744.0,546.0,2198.0
51024,2014,1,11,2758.0,658.0,2100.0
51025,2014,1,12,2520.0,420.0,2100.0
51026,2014,1,13,2268.0,280.0,1988.0
51027,2014,1,14,1890.0,252.0,1638.0
51028,2014,1,15,672.0,126.0,546.0
51029,2014,1,16,630.0,168.0,462.0
51030,2014,1,17,462.0,84.0,378.0
51031,2014,1,18,504.0,98.0,406.0
51032,2014,1,19,700.0,56.0,644.0
51033,2014,1,20,742.0,42.0,700.0
51034,2014,1,21,868.0,42.0,826.0
51035,2014,1,22,1148.0,84.0,1064.0
51036,2014,1,23,938.0,126.0,812.0
51037,2014,1,24,784.0,112.0,672.0
51038,2014,1,25,952.0,238.0,714.0
51039,2014,1,26,728.0,98.0,630.0
51040,2014,1,27,644.0,42.0,602.0
51041,2014,1,28,686.0,84.0,602.0
51042,2014,1,29,1274.0,140.0,1134.0
51043,2014,1,30,1918.0,294.0,1624.0
51044,2014,1,31,2058.0,224.0,1834.0
51045,2014,2,1,1694.0,294.0,1400.0
51046,2014,2,2,2296.0,308.0,1988.0
51047,2014,2,3,2646.0,420.0,2226.0
51048,2014,2,4,2618.0,448.0,2170.0
51049,2014,2,5,2758.0,462.0,2296.0
51050,2014,2,6,2912.0,644.0,2268.0
51051,2014,2,7,3682.0,1078.0,2604.0
51052,2014,2,8,3178.0,952.0,2226.0
51053,2014,2,9,2478.0,770.0,1708.0
51054,2014,2,10,2464.0,728.0,1736.0
51055,2014,2,11,1316.0,140.0,1176.0
51056,2014,2,12,1540.0,140.0,1400.0
51057,2014,2,13,1764.0,126.0,1638.0
51058,2014,2,14,2394.0,84.0,2310.0
51059,2014,2,15,2499.0,42.0,2457.0
51060,2014,2,16,1974.0,14.0,1960.0
51061,2014,2,17,1974.0,14.0,1960.0
51062,2014,2,18,1526.0,0.0,1526.0
51063,2014,2,19,1820.0,0.0,1820.0
51064,2014,2,20,1316.0,14.0,1302.0
51065,2014,2,21,1232.0,28.0,1204.0
51066,2014,2,22,1218.0,56.0,1162.0
51067,2014,2,23,1428.0,56.0,1372.0
51068,2014,2,24,1554.0,98.0,1456.0
51069,2014,2,25,1750.0,168.0,1582.0
51070,2014,2,26,1274.0,140.0,1134.0
51071,2014,2,27,1484.0,70.0,1414.0
51072,2014,2,28,1638.0,112.0,1526.0
51073,2014,3,1,1708.0,70.0,1638.0
51074,2014,3,2,1484.0,168.0,1316.0
51075,2014,3,3,1344.0,182.0,1162.0
51076,2014,3,4,1302.0,210.0,1092.0
51077,2014,3,5,1064.0,252.0,812.0
51078,2014,3,6,1288.0,280.0,1008.0
51079,2014,3,7,742.0,98.0,644.0
51080,2014,3,8,1036.0,252.0,784.0
51081,2014,3,9,686.0,182.0,504.0
51082,2014,3,10,476.0,168.0,308.0
51083,2014,3,11,686.0,350.0,336.0
51084,2014,3,12,756.0,364.0,392.0
51085,2014,3,13,1246.0,630.0,616.0
51086,2014,3,14,1190.0,574.0,616.0
51087,2014,3,15,1050.0,546.0,504.0
51088,2014,3,16,1204.0,728.0,476.0
51089,2014,3,17,1302.0,840.0,462.0
51090,2014,3,18,742.0,378.0,364.0
51091,2014,3,19,728.0,406.0,322.0
51092,2014,3,20,882.0,392.0,490.0
51093,2014,3,21,1232.0,392.0,840.0
51094,2014,3,22,1134.0,322.0,812.0
51095,2014,3,23,1372.0,350.0,1022.0
51096,2014,3,24,1246.0,392.0,854.0
51097,2014,3,25,1036.0,322.0,714.0
51098,2014,3,26,910.0,238.0,672.0
51099,2014,3,27,728.0,210.0,518.0
51100,2014,3,28,868.0,322.0,546.0
51101,2014,3,29,952.0,336.0,616.0
51102,2014,3,30,658.0,238.0,420.0
51103,2014,3,31,770.0,238.0,532.0
51104,2014,4,1,882.0,238.0,644.0
51105,2014,4,2,756.0,224.0,532.0
51106,2014,4,3,1036.0,238.0,798.0
51107,2014,4,4,1120.0,322.0,798.0
51108,2014,4,5,1470.0,462.0,1008.0
51109,2014,4,6,1302.0,490.0,812.0
51110,2014,4,7,784.0,504.0,280.0
51111,2014,4,8,588.0,378.0,210.0
51112,2014,4,9,616.0,504.0,112.0
51113,2014,4,10,602.0,560.0,42.0
51114,2014,4,11,588.0,574.0,14.0
51115,2014,4,12,924.0,700.0,224.0
51116,2014,4,13,994.0,728.0,266.0
51117,2014,4,14,1036.0,686.0,350.0
51118,2014,4,15,1106.0,602.0,504.0
51119,2014,4,16,1344.0,602.0,742.0
51120,2014,4,17,2072.0,742.0,1330.0
51121,2014,4,18,2324.0,1022.0,1302.0
51122,2014,4,19,2576.0,1288.0,1288.0
51123,2014,4,20,2450.0,1274.0,1176.0
51124,2014,4,21,1512.0,700.0,812.0
51125,2014,4,22,1484.0,588.0,896.0
51126,2014,4,23,1064.0,350.0,714.0
51127,2014,4,24,1134.0,252.0,882.0
51128,2014,4,25,630.0,224.0,406.0
51129,2014,4,26,546.0,196.0,350.0
51130,2014,4,27,294.0,168.0,126.0
51131,2014,4,28,728.0,266.0,462.0
51132,2014,4,29,868.0,154.0,714.0
51133,2014,4,30,798.0,126.0,672.0
51134,2014,5,1,756.0,112.0,644.0
51135,2014,5,2,910.0,42.0,868.0
51136,2014,5,3,1400.0,56.0,1344.0
51137,2014,5,4,1484.0,42.0,1442.0
51138,2014,5,5,1092.0,56.0,1036.0
51139,2014,5,6,1246.0,378.0,868.0
51140,2014,5,7,1582.0,798.0,784.0
51141,2014,5,8,1414.0,1134.0,280.0
51142,2014,5,9,1652.0,1260.0,392.0
51143,2014,5,10,1848.0,1554.0,294.0
51144,2014,5,11,1512.0,1288.0,224.0
51145,2014,5,12,1470.0,1148.0,322.0
51146,2014,5,13,1596.0,1050.0,546.0
51147,2014,5,14,1232.0,770.0,462.0
51148,2014,5,15,1400.0,952.0,448.0
51149,2014,5,16,1260.0,868.0,392.0
51150,2014,5,17,1078.0,672.0,406.0
51151,2014,5,18,812.0,378.0,434.0
51152,2014,5,19,658.0,196.0,462.0
51153,2014,5,20,476.0,56.0,420.0
51154,2014,5,21,322.0,14.0,308.0
51155,2014,5,22,518.0,0.0,518.0
51156,2014,5,23,392.0,0.0,392.0
51157,2014,5,24,448.0,0.0,448.0
51158,2014,5,25,616.0,0.0,616.0
51159,2014,5,26,784.0,0.0,784.0
51160,2014,5,27,714.0,0.0,714.0
51161,2014,5,28,294.0,0.0,294.0
51162,2014,5,29,210.0,0.0,210.0
51163,2014,5,30,140.0,0.0,140.0
51164,2014,5,31,154.0,0.0,154.0
51165,2014,6,1,182.0,0.0,182.0
51166,2014,6,2,364.0,168.0,196.0
51167,2014,6,3,294.0,140.0,154.0
51168,2014,6,4,280.0,126.0,154.0
51169,2014,6,5,308.0,140.0,168.0
51170,2014,6,6,462.0,182.0,280.0
51171,2014,6,7,770.0,364.0,406.0
51172,2014,6,8,1330.0,588.0,742.0
51173,2014,6,9,1582.0,560.0,1022.0
51174,2014,6,10,2114.0,462.0,1652.0
51175,2014,6,11,1736.0,462.0,1274.0
51176,2014,6,12,2086.0,616.0,1470.0
51177,2014,6,13,2226.0,630.0,1596.0
51178,2014,6,14,2520.0,798.0,1722.0
51179,2014,6,15,1568.0,504.0,1064.0
51180,2014,6,16,700.0,476.0,224.0
51181,2014,6,17,882.0,546.0,336.0
51182,2014,6,18,952.0,518.0,434.0
51183,2014,6,19,966.0,532.0,434.0
51184,2014,6,20,742.0,322.0,420.0
51185,2014,6,21,476.0,126.0,350.0
51186,2014,6,22,392.0,84.0,308.0
51187,2014,6,23,448.0,238.0,210.0
51188,2014,6,24,238.0,196.0,42.0
51189,2014,6,25,182.0,154.0,28.0
51190,2014,6,26,336.0,238.0,98.0
51191,2014,6,27,336.0,168.0,168.0
51192,2014,6,28,210.0,140.0,70.0
51193,2014,6,29,322.0,182.0,140.0
51194,2014,6,30,924.0,196.0,728.0
51195,2014,7,1,1050.0,196.0,854.0
51196,2014,7,2,1190.0,196.0,994.0
51197,2014,7,3,1764.0,280.0,1484.0
51198,2014,7,4,2002.0,294.0,1708.0
51199,2014,7,5,2562.0,434.0,2128.0
51200,2014,7,6,2926.0,336.0,2590.0
51201,2014,7,7,3122.0,364.0,2758.0
51202,2014,7,8,2772.0,308.0,2464.0
51203,2014,7,9,3192.0,322.0,2870.0
51204,2014,7,10,3122.0,406.0,2716.0
51205,2014,7,11,2506.0,266.0,2240.0
51206,2014,7,12,2086.0,182.0,1904.0
51207,2014,7,13,1988.0,168.0,1820.0
51208,2014,7,14,924.0,140.0,784.0
51209,2014,7,15,518.0,84.0,434.0
51210,2014,7,16,28.0,14.0,14.0
